Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
w1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3646862246096134e-11,36666.55403786426,43229.82636093415
w2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-18523.001355730008,-18119.401785448048
w3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4660.506368699907,28981.400872325437,11243.96471420917
w4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60980.97476514973,57236.288864466245,4995.77924761246
w5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-23135.161038111924,-33999.773635720645,-0.0
w6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20270.999614105396,102981.04945162841,-5509.379675975244
w7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58216.461906727374,-115633.18396148895,-78292.72584504011
w8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24796.207608778866,14320.560291689177,-15416.885562973097
w9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23704.922866129342,83338.16547841221,90930.66042872009
w10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67546.11491369162,-154887.0547948636,-115913.04300201972
w11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5014.534886700733,9652.825423921398,10894.729589533614
