region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,CO2SequestrationCost,EnergyRevenue,SubsidyRevenue,OperatingReserveRevenue,OperatingRegulationRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
MA,MA_natural_gas_combined_cycle,1,1,1,0.0,0.0,0.0,4.8682642132403314e7,0.0,0.0,3.938529224850285e7,2.1853398507348552e8,0.0,4.02454886286172e6,0.0,0.0,8.515315306960071e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.515315306960071e10,3.106264683172534e8,8.484252660128345e10
CT,CT_natural_gas_combined_cycle,2,1,2,0.0,0.0,0.0,1.1042390337682232e7,0.0,0.0,1.9353541025396347e7,8.50490318702215e7,0.0,666856.229159399,0.0,0.0,2.029676835063215e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.029676835063215e10,1.1611181946245947e8,2.018065653116969e10
ME,ME_natural_gas_combined_cycle,3,1,3,0.0,0.0,0.0,5.589866341777832e6,0.0,0.0,1.3004929634586822e6,1.1340004434549063e7,0.0,135645.64249096782,0.0,0.0,6.058864037686506e9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.058864037686506e9,1.8366009382276546e7,6.04049802830423e9
MA,MA_solar_pv,1,1,4,0.0,0.0,0.0,2.2590586242054912e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222651891751668e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.222651891751668e10,2.2590586242054912e8,2.2000613055096134e10
CT,CT_onshore_wind,2,1,5,0.0,0.0,0.0,4.8382367750461775e8,0.0,0.0,2.815648225731955e6,0.0,0.0,0.0,0.0,0.0,1.6858953716124454e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6858953716124454e10,4.866393257303497e8,1.6372314390394104e10
CT,CT_solar_pv,2,1,6,0.0,0.0,0.0,2.4709912542113706e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.497782849929326e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.497782849929326e10,2.4709912542113706e8,2.473072937387212e10
ME,ME_onshore_wind,3,1,7,0.0,0.0,0.0,5.866156457370627e8,0.0,0.0,3.785503839927735e6,0.0,0.0,0.0,0.0,0.0,2.5613954652675373e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5613954652675373e10,5.904011495769905e8,2.502355350309838e10
MA,MA_battery,1,0,8,0.0,0.0,0.0,1.4175155075803373e7,1.6216724907967083e7,0.0,890541.558351874,0.0,1.0521521247068478e6,0.0,1.0531197739460922e10,0.0,1.951731157307152e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.951731157307152e10,1.0563532313127752e10,8.95377925994377e9
CT,CT_battery,2,0,9,0.0,0.0,0.0,3.180463750838416e7,3.638528499426992e7,0.0,1.1904169345607683e6,0.0,1.4064472289234004e6,0.0,8.89333046241885e9,0.0,2.8762610439079376e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8762610439079376e10,8.964117249084988e9,1.979849318999439e10
ME,ME_battery,3,0,10,0.0,0.0,0.0,2.7408697303726304e7,3.1356221634497926e7,0.0,985930.0339647651,0.0,1.1648511743440037e6,0.0,2.857988280416422e9,0.0,1.963494895326027e10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.963494895326027e10,2.918903980562955e9,1.6716044972697315e10
