Resource,Zone,AnnualSum,Capacity,CapacityFactor
MA_natural_gas_combined_cycle,1,1.109444852070503e7,4732.443096374386,0.2676185495243234
CT_natural_gas_combined_cycle,2,5.421159951091414e6,1138.6255246114902,0.5435095756407947
ME_natural_gas_combined_cycle,3,288998.4363241516,343.1260414816667,0.09614743589743616
MA_solar_pv,1,1.8358780848521862e7,12041.890320924793,0.17403839285714343
CT_onshore_wind,2,2.8156482257319547e7,11198.326061905283,0.2870259613426652
CT_solar_pv,2,2.062224074591291e7,13171.595171702402,0.17872831959706995
ME_onshore_wind,3,3.7855038399277344e7,13577.494404283363,0.3182731133425729
MA_battery,1,5.936943722345827e6,2895.8437335655512,0.0
CT_battery,2,7.936112897071789e6,6497.372320405344,0.0
ME_battery,3,6.572866893098434e6,5599.325291874628,0.0
