Costs,Total,Zone1,Zone2,Zone3
cTotal,2.2131688018245873e9,5.638448026596571e8,9.270049534961995e8,6.633893259616358e8
cFix,1.7750657825080152e9,3.1030449240431964e8,8.112352254284089e8,6.535260646752869e8
cVar,7.173643576198249e7,3.985280821103459e7,2.534817966848992e7,6.535447882459497e6
cFuel,3.038410204682595e8,2.1116633610079986e8,8.943928119181877e7,3.2354031756343623e6
cNSE,0.0,0.0,0.0,0.0
cStart,3.5958433792401836e6,2.5211659435030217e6,982267.207482072,92410.22825508968
cUnmetRsv,0.0,-,-,-
cNetworkExp,5.892971970715415e7,-,-,-
cUnmetPolicyPenalty,0.0,-,-,-
cCO2,0.0,0.0,0.0,0.0
